code,name,outstanding,timeToMarket
002596,海南瑞泽,7.26,20110707
300110,华仁药业,11.82,20100825
600673,东阳光科,24.57,19930917
300068,南都电源,5.94,20100421
600888,新疆众和,8.34,19960215
601137,博威合金,5.64,20110127
603429,集友股份,0.48,20170124
000710,贝瑞基因,0.62,19970422
603369,今世缘,12.55,20140703
600586,金晶科技,14.44,20020815
000606,神州易桥,4.72,19961004
000738,航发控制,11.46,19970626
300006,莱美药业,5.86,20091030
601990,南京证券,2.75,20180613
300527,中国应急,2.58,20160805
300368,汇金股份,2.61,20140123
600486,扬农化工,3.1,20020425
600810,神马股份,4.42,19940106
002332,仙琚制药,7.21,20100112
600278,东方创业,5.22,20000712
603587,地素时尚,0.61,20180622
002317,众生药业,6.43,20091211
002815,崇达技术,2.12,20161012
603871,嘉友国际,0.28,20180206
601258,庞大集团,65.38,20110428
300091,金通灵,3.55,20100625
300357,我武生物,2.54,20140121
300558,贝达药业,1.7,20161107
300332,天壕环境,6.27,20120628
300172,中电环保,3.46,20110201
300439,美康生物,1.99,20150422
600228,ST昌九,2.41,19990119
603197,保隆科技,0.98,20170519
002849,威星智能,0.57,20170217
002175,东方网络,5.29,20071012
600562,国睿科技,4.26,20030128
300463,迈克生物,3.67,20150528
000682,东方电子,9.78,19970121
002304,洋河股份,12.42,20091106
300152,科融环境,7.13,20101229
603348,文灿股份,0.55,20180426
002515,金字火腿,9.55,20101203
300040,九洲电气,2.34,20100108
000639,西王食品,3.76,19961126
000661,长春高新,1.7,19961218
300081,恒信东方,3.16,20100520
300044,赛为智能,4.68,20100120
300352,北信源,10.44,20120912
300388,国祯环保,2.97,20140801
300739,明阳电路,0.46,20180201
002353,杰瑞股份,6.68,20100205
002054,德美化工,3.15,20060725
300472,新元科技,0.71,20150611
603305,旭升股份,0.42,20170710
600578,京能电力,53.35,20020510
002618,丹邦科技,5.48,20110920
600461,洪城水业,5.94,20040601
601069,西部黄金,6.36,20150122
300320,海达股份,4.53,20120601
600302,标准股份,3.46,20001213
002400,省广集团,16.57,20100506
000726,鲁 泰Ａ,5.61,20001225
300113,顺网科技,4.77,20100827
300440,运达科技,4.45,20150423
300269,联建光电,3.71,20111012
002498,汉缆股份,33.26,20101109
002096,南岭民爆,3.71,20061222
002129,中环股份,26.44,20070420
300086,康芝药业,4.36,20100526
002040,南 京 港,3.07,20050325
600498,烽火通信,10.32,20010823
300456,耐威科技,1.42,20150514
300283,温州宏丰,2.07,20120110
002227,奥 特 迅,2.2,20080506
002447,晨鑫科技,11.5,20100713
300411,金盾股份,0.72,20141231
002286,保龄宝,3.29,20090828
002240,威华股份,4.9,20080523
600593,大连圣亚,1.29,20020711
300078,思创医惠,5.17,20100430
002319,乐通股份,2.0,20091211
002390,信邦制药,11.38,20100416
002395,双象股份,1.79,20100429
600596,新安股份,6.87,20010906
002679,福建金森,1.39,20120605
300174,元力股份,2.2,20110201
002769,普路通,1.91,20150629
300715,凯伦股份,0.32,20171026
603103,横店影视,0.53,20171012
600354,敦煌种业,4.48,20040115
002576,通达动力,1.37,20110428
002821,凯莱英,1.21,20161118
601619,嘉泽新能,1.94,20170720
600380,健康元,15.62,20010608
002575,群兴玩具,5.89,20110422
300567,精测电子,0.82,20161122
601633,长城汽车,60.28,20110928
000823,超声电子,5.37,19971008
300642,透景生命,0.53,20170421
600559,老白干酒,4.9,20021029
603876,鼎胜新材,0.65,20180418
000504,南华生物,3.11,19921208
002898,赛隆药业,0.4,20170912
002775,文科园林,2.39,20150629
300470,日机密封,0.96,20150612
002727,一心堂,2.67,20140702
600969,郴电国际,3.7,20040408
002836,新宏泽,0.56,20161229
600563,法拉电子,2.25,20021210
300736,百华悦邦,0.2,20180109
603301,振德医疗,0.25,20180412
000977,浪潮信息,12.84,20000608
300588,熙菱信息,0.75,20170105
002507,涪陵榨菜,7.71,20101123
000156,华数传媒,12.8,20000906
000557,西部创业,5.85,19940617
000886,海南高速,9.65,19980123
300653,正海生物,0.43,20170516
300149,量子生物,4.05,20101222
002289,宇顺电子,2.6,20090903
600579,天华院,4.11,20020809
601008,连云港,10.15,20070426
002588,史丹利,7.3,20110610
600078,澄星股份,6.63,19970627
603788,宁波高发,1.96,20150120
300097,智云股份,1.55,20100728
002223,鱼跃医疗,8.55,20080418
600891,秋林集团,3.84,19960325
300185,通裕重工,27.41,20110308
002582,好想你,2.36,20110520
600886,国投电力,67.86,19960118
002262,恩华药业,8.84,20080723
300188,美亚柏科,4.91,20110316
603708,家家悦,1.57,20161213
000727,华东科技,29.31,19970520
603228,景旺电子,0.81,20170106
603725,天安新材,0.37,20170906
